Unnamed: 0,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,dr8_id
7783,587727226772979814,01:24:18.66,-09:13:09.9,23,0.0,0.957,0.0,0.043,0.0,0.0,1.0,0.0,1.0,1,0,0,277371_2709
7869,587727179534041124,01:40:19.06,-09:21:10.5,22,0.091,0.818,0.091,0.0,0.0,0.0,0.909,0.082,0.918,1,0,0,277387_673
7874,587727179534172254,01:41:19.48,-09:13:32.5,28,0.0,0.893,0.0,0.0,0.0,0.107,0.893,0.0,0.893,1,0,0,277388_4122
7936,587727178999005321,01:57:20.58,-09:20:18.5,27,0.074,0.926,0.0,0.0,0.0,0.0,0.926,0.013,0.987,1,0,0,277403_1255
7999,587727179000447051,02:10:44.12,-09:13:42.2,53,0.057,0.83,0.0,0.113,0.0,0.0,0.943,0.017,0.983,1,0,0,277417_4171
8021,587727779743072337,02:13:53.84,-09:17:58.2,29,0.034,0.897,0.069,0.0,0.0,0.0,0.966,0.007,0.993,1,0,0,277420_2318
8102,587727178466001077,02:33:25.06,-09:11:27.2,30,0.0,0.967,0.033,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,277439_5080
8114,587724240151707835,02:36:39.08,-09:11:59.1,58,0.0,0.983,0.0,0.0,0.0,0.017,0.983,0.0,0.983,1,0,0,277442_4328
8155,587727212276154597,21:53:05.12,-09:11:05.0,31,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,278584_3882
8169,587730815747752030,21:54:56.66,-09:18:08.7,40,0.05,0.95,0.0,0.0,0.0,0.0,0.95,0.05,0.95,1,0,0,278586_1097
8177,587730815747686677,21:54:57.01,-09:10:13.3,32,0.031,0.906,0.0,0.062,0.0,0.0,0.969,0.018,0.982,1,0,0,278586_3428
8435,587726878348738729,22:42:59.28,-09:12:30.7,23,0.087,0.913,0.0,0.0,0.0,0.0,0.913,0.039,0.961,1,0,0,278633_2907
8516,587730817365901477,23:05:17.34,-09:21:39.5,16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,278655_174
8523,587726878888362101,23:08:18.88,-09:18:11.4,22,0.091,0.818,0.0,0.091,0.0,0.0,0.909,0.078,0.922,1,0,0,278658_1481
8540,587726878888493189,23:09:30.25,-09:10:01.4,26,0.038,0.846,0.077,0.038,0.0,0.0,0.962,0.019,0.981,1,0,0,278660_4417
8541,587726878888624333,23:10:36.92,-09:19:31.9,53,0.075,0.849,0.0,0.038,0.019,0.019,0.887,0.027,0.934,1,0,0,278661_1125
8601,587727875305570429,23:28:10.42,-09:20:12.8,29,0.034,0.966,0.0,0.0,0.0,0.0,0.966,0.034,0.966,1,0,0,278678_709
8689,587727875844604004,23:48:01.67,-09:11:55.6,33,0.061,0.879,0.0,0.061,0.0,0.0,0.939,0.033,0.967,1,0,0,278698_2792
8716,587727227300282565,23:55:54.66,-09:13:46.8,28,0.0,0.929,0.036,0.0,0.0,0.036,0.964,0.0,0.964,1,0,0,278705_2742
8727,587727227300348065,23:56:27.85,-09:18:19.7,29,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,278706_1143
8761,587727180597428330,00:04:34.27,-09:03:09.3,38,0.0,0.842,0.0,0.132,0.0,0.026,0.974,0.0,0.974,1,0,0,278714_1557
8764,587727227838136451,00:04:54.03,-08:53:40.7,28,0.0,0.929,0.0,0.036,0.036,0.0,0.964,0.0,0.964,1,0,0,278714_5099
